Year,County FIPS Code,Name,"Poverty Estimate, All Ages","Poverty Percent, All Ages","Poverty Estimate, Age 0-17","Poverty Percent, Age 0-17","Poverty Estimate, Age 5-17 in Families","Poverty Percent, Age 5-17 in Families",Median Household Income
1997,55,Napa County,10283,8.8,4218,14.4,2972,14.1,44667
1997,57,Nevada County,8761,9.6,3487,15.3,2569,15,40347
1997,59,Orange County,299636,11,123692,17.4,79761,16.2,49583
1997,61,Placer County,17812,7.7,6919,11,5166,11.2,49638
1997,63,Plumas County,2687,13.1,1073,20.1,874,21.6,35154
1997,65,Riverside County,221430,15,103143,22.7,69205,22.1,36368
1997,67,Sacramento County,200479,17.2,88593,27.3,60412,26.2,39461
1997,69,San Benito County,5634,11.4,2949,17.9,2133,18.2,42578
1997,71,San Bernardino County,291422,17.9,138568,25.7,91368,24.4,36876
1997,73,San Diego County,386232,14.2,160744,22,106184,21,39427
1997,75,San Francisco County,94142,12.6,27810,21.7,19836,21.9,43405
1997,77,San Joaquin County,101876,18.8,47244,27.3,33542,27.5,35629
1997,79,San Luis Obispo County,28888,12.9,10133,18.5,7324,18.7,38597
1997,81,San Mateo County,46164,6.6,15354,9.5,11113,9.9,57267
1997,83,Santa Barbara County,55429,14.6,21915,22.5,15133,22.4,40232
1997,85,Santa Clara County,146523,9,56294,13.6,38963,13.5,59639
1997,87,Santa Cruz County,31272,13.1,13295,21.3,9079,20.7,44607
1997,89,Shasta County,29709,18.1,13107,28.2,9408,27.8,32109
1997,91,Sierra County,392,11.6,140,15.2,115,16.9,34941
1997,93,Siskiyou County,8337,19,3635,30.1,2734,29.6,28178
1997,95,Solano County,41722,11.3,19198,17,13217,16.3,46115
1997,97,Sonoma County,39585,9.1,15370,13.6,10664,13.2,43770
1997,99,Stanislaus County,78638,18.4,38071,27.2,26319,26.6,35913
1997,101,Sutter County,13275,17.2,6127,26.5,4488,27,33775
1997,103,Tehama County,10774,20,4765,30.9,3614,32.1,28030
1997,105,Trinity County,2525,19.4,987,28.2,834,31.6,27042
1997,107,Tulare County,98816,27.9,50568,39.9,34813,38.5,27622
1997,109,Tuolumne County,7246,14.8,2879,23.6,2087,22.6,33810
1997,111,Ventura County,75183,10.3,35178,16.6,23611,15.7,49763
1997,113,Yolo County,23632,15.8,9488,23.6,6724,23.8,38751
1997,115,Yuba County,15181,25.5,7690,38.1,5745,41.8,26842
1998,0,California,4917053,14.9,2064698,22.8,1395571,21.8,41003
1998,1,Alameda County,152381,10.8,60820,17.3,40963,16.3,48445
1998,3,Alpine County,212,17.9,86,29.8,86,39.8,31444
1998,5,Amador County,3380,11.3,1190,17.7,939,18.3,39610
1998,7,Butte County,37506,19.4,13403,27.2,10597,29.6,30464
1998,9,Calaveras County,4790,11.9,1770,17.7,1523,20.1,37366
1998,11,Colusa County,3486,18.5,1680,27.2,1308,28.6,31049
1998,13,Contra Costa County,76463,8.1,33175,13.8,21964,12.6,57611
1998,15,Del Norte County,4945,20.7,1969,27,1773,32.7,30420
1998,17,El Dorado County,13890,8.6,5525,12.6,4203,13,47411
1998,19,Fresno County,183863,24.3,85932,34.1,60418,33.9,32023
1998,21,Glenn County,5159,19.7,2348,27.7,1915,31,29055
1998,23,Humboldt County,21345,17.8,7734,24,6350,26.5,31630
1998,25,Imperial County,43849,31.9,21639,44,13447,36.9,24430
1998,27,Inyo County,2555,14.3,1023,23.1,801,24.4,35043
1998,29,Kern County,127410,20.5,59409,28.5,41805,28.3,33769
1998,31,Kings County,24080,22.8,11045,29.1,8308,30.9,31296
1998,33,Lake County,10326,18.6,3845,27.4,3256,31.5,28681
1998,35,Lassen County,4444,18.1,1677,22.2,1372,23.8,39247
1998,37,Los Angeles County,1759230,18.9,716910,28.1,461871,26,37655
1998,39,Madera County,25095,22.9,11547,32.9,8539,33.2,31499
1998,41,Marin County,15279,6.6,4384,9.7,3230,9.9,62126
1998,43,Mariposa County,2407,15.4,894,25,743,28.1,32760
1998,45,Mendocino County,14692,17.5,6056,25.8,4878,28,32994
1998,47,Merced County,49822,24.7,24206,33.2,18461,35.6,29859
1998,49,Modoc County,1923,21.5,745,30.5,709,38.2,28910
1998,51,Mono County,1165,11.1,442,16.7,361,19.8,38600
1998,53,Monterey County,55231,15.4,26243,24.2,17230,22.9,40480
1998,55,Napa County,10245,8.7,4484,15.3,2979,14,46246
1998,57,Nevada County,8695,9.4,3306,14.5,2499,14.4,42386
1998,59,Orange County,279629,10.1,116318,16.4,71357,14.3,50986
1998,61,Placer County,17174,7.1,7165,11,4999,10.4,52572
1998,63,Plumas County,2694,13.1,1078,20.4,909,22.6,36070
1998,65,Riverside County,214079,14,94862,20.4,64878,19.9,39428
1998,67,Sacramento County,187948,15.9,80167,24.6,57630,24.6,41657
1998,69,San Benito County,5734,11.1,2901,16.9,2199,17.7,45989
1998,71,San Bernardino County,281987,17,127772,23.4,88291,23,38225
1998,73,San Diego County,363612,13.1,149261,20.2,95997,18.6,41909
1998,75,San Francisco County,87451,11.7,26079,20.6,18821,20.8,47239
1998,77,San Joaquin County,98103,17.6,43501,24.8,32773,26.1,36940
1998,79,San Luis Obispo County,27661,12.2,9687,17.7,7057,17.8,40032
1998,81,San Mateo County,41695,5.9,14986,9.4,9645,8.6,59771
1998,83,Santa Barbara County,53935,14.1,21030,21.7,14577,21.5,42806
1998,85,Santa Clara County,134983,8.2,55505,13.5,36057,12.4,63298
1998,87,Santa Cruz County,28871,12,11715,18.8,8145,18.4,45267
1998,89,Shasta County,28245,17.2,11383,24.8,9162,27,33045
1998,91,Sierra County,347,10.4,114,12.7,108,16.2,37685
1998,93,Siskiyou County,8022,18.4,3143,26.8,2681,29.5,29039
1998,95,Solano County,40101,10.6,18256,16,12993,15.7,47953
1998,97,Sonoma County,36947,8.4,14181,12.5,10609,12.9,46149
1998,99,Stanislaus County,75131,17.2,34388,24.2,25081,24.7,36207
1998,101,Sutter County,13252,16.9,5830,25.1,4485,26.6,34517
1998,103,Tehama County,10443,19.4,4149,27.2,3614,32.2,28488
1998,105,Trinity County,2435,18.9,878,25.9,854,32.9,27816
1998,107,Tulare County,95668,26.6,44900,35.3,33215,36.2,28449
1998,109,Tuolumne County,6871,13.8,2570,21.1,2104,22.5,35463
1998,111,Ventura County,74557,10,34637,16.3,23121,15.1,51710
1998,113,Yolo County,21911,14.4,8703,21.6,6362,22.2,41169
1998,115,Yuba County,13697,23.1,6052,30.5,5319,38.8,27631
1999,0,California,4562089,13.7,1854292,20.2,1274716,19.2,43924
1999,1,Alameda County,142281,10,53568,15.2,36918,14.7,51298
1999,3,Alpine County,184,15.3,79,29.3,60,29.3,35654
1999,5,Amador County,3029,9.9,1152,16.9,832,15.7,40177
1999,7,Butte County,35786,18,12613,26.2,9111,25.2,30536
1999,9,Calaveras County,4543,11.3,1672,18.4,1224,17,38971
1999,11,Colusa County,2975,16.1,1372,23.6,1012,23.9,33409
1999,13,Contra Costa County,70684,7.5,29947,12,19714,10.8,60368
1999,15,Del Norte County,4633,19.5,1891,28.1,1400,27.3,29206
1999,17,El Dorado County,12024,7.7,4683,11.6,3055,9.8,49214
1999,19,Fresno County,170870,21.7,76142,29.9,55040,29.8,32576
1999,21,Glenn County,4663,17.8,2151,26.6,1630,27.2,30626
1999,23,Humboldt County,20312,16.4,6977,24.1,4965,23,30669
1999,25,Imperial County,37445,28.3,14902,33.4,11323,33.8,28712
1999,27,Inyo County,2236,12.5,872,19.9,643,19,34553
1999,29,Kern County,122251,19.3,55400,26.4,39652,26,33723
1999,31,Kings County,21895,19.9,9846,26.4,7127,26.8,32787
1999,33,Lake County,9495,16.5,3579,25.9,2520,23.7,28841
1999,35,Lassen County,3879,15.5,1498,20.6,1046,18.9,36484
1999,37,Los Angeles County,1616840,17.2,640197,24.2,438131,23.1,38900
1999,39,Madera County,23769,20.6,10290,28.6,7330,27.8,33103
1999,41,Marin County,14805,6.2,4426,8.9,3089,8.6,67785
1999,43,Mariposa County,2239,13.2,782,21.5,613,21.3,33286
1999,45,Mendocino County,13306,15.6,5280,24.5,3806,23.5,33974
1999,47,Merced County,44868,21.4,21015,29.2,15204,28.7,32113
1999,49,Modoc County,1746,19,708,30.2,562,31.5,27872
1999,51,Mono County,1142,9,444,15,319,14.6,41002
1999,53,Monterey County,51051,13.3,22343,19.8,15554,19.3,43263
1999,55,Napa County,9479,7.9,3883,13.1,2711,12.4,48896
1999,57,Nevada County,7762,8.5,2836,13.5,2002,12.1,43914
1999,59,Orange County,276298,9.8,112188,14.8,74030,13.7,52129
1999,61,Placer County,15743,6.4,6470,9.9,4152,8.4,55539
1999,63,Plumas County,2338,11.3,874,18.6,669,18,36682
1999,65,Riverside County,200301,13.2,88618,19.1,60827,17.9,40229
1999,67,Sacramento County,175104,14.5,73893,22.2,51222,21.1,41794
1999,69,San Benito County,5453,10.3,2598,15.3,1840,15.1,51751
1999,71,San Bernardino County,266866,16,119014,21.8,81298,20.3,38497
1999,73,San Diego County,333102,12.2,130696,18.2,88258,17.1,44009
1999,75,San Francisco County,76067,9.9,19597,17.6,13393,17,51291
1999,77,San Joaquin County,90951,16.5,40559,23.5,29037,23,38152
1999,79,San Luis Obispo County,25362,10.9,8311,15.8,5553,13.9,40407
1999,81,San Mateo County,38108,5.4,13815,8.6,8857,7.7,64694
1999,83,Santa Barbara County,50535,13.1,19102,19.4,13151,18.3,43211
1999,85,Santa Clara County,128567,7.7,48919,11.8,31882,10.9,68619
1999,87,Santa Cruz County,27038,10.9,10041,16.7,6767,15.4,49095
1999,89,Shasta County,24814,15.4,9806,23.4,6990,21.9,33346
1999,91,Sierra County,382,10.9,139,16.9,113,17,36329
1999,93,Siskiyou County,7458,17,2837,27,2180,26.8,29281
1999,95,Solano County,36100,9.5,16133,14.6,10241,12.6,49663
1999,97,Sonoma County,34918,7.7,12606,11.4,8029,9.8,49481
1999,99,Stanislaus County,70444,15.9,30971,22.5,21730,21.5,37173
1999,101,Sutter County,11258,14.4,4932,21.7,3627,21.5,36541
1999,103,Tehama County,9373,16.9,3976,26.2,2857,24.9,29955
1999,105,Trinity County,2067,16.1,773,26.3,614,26,27692
1999,107,Tulare County,88257,24.2,39883,32.3,28974,32.3,30273
1999,109,Tuolumne County,6371,12.8,2306,20.7,1596,18.5,36481
1999,111,Ventura County,70406,9.4,31403,14.8,20747,13.4,53676
1999,113,Yolo County,20615,12.7,7904,18.8,5567,18,40422
1999,115,Yuba County,11598,19.6,5379,29.3,3922,29.4,29007
2000,0,California,4304909,12.7,1711407,18.5,1173218,17.7,46836
2000,1,Alameda County,128341,8.8,42179,11.7,28096,11.1,55551
2000,3,Alpine County,210,17.7,74,31.2,55,30.1,39640
2000,5,Amador County,3110,9.9,953,14.3,696,13.4,42701
2000,7,Butte County,34558,17.2,10946,23,7719,21.6,31963
2000,9,Calaveras County,4424,10.8,1428,15.8,1032,14.5,41460
2000,11,Colusa County,2830,15.1,1364,23.8,1009,24.4,35623
2000,13,Contra Costa County,64682,6.7,23434,9.1,15936,8.5,64040
2000,15,Del Norte County,5129,21.8,1749,26.9,1266,25.8,30166
2000,17,El Dorado County,11651,7.3,3726,9.2,2553,8.2,52155
2000,19,Fresno County,164786,20.6,76110,30,52999,29,34930
2000,21,Glenn County,4614,17.8,2069,26.3,1510,25.8,32321
2000,23,Humboldt County,19614,15.9,5939,20.9,4137,19.7,32098
2000,25,Imperial County,32846,24.7,15230,34.8,10436,32.2,31651
2000,27,Inyo County,2127,11.9,725,17.1,525,15.9,36377
2000,29,Kern County,119920,18.6,54836,26.1,38526,25.3,36446
2000,31,Kings County,22992,20.5,9642,25.7,6789,25.5,34724
2000,33,Lake County,9432,15.8,3174,22.4,2268,20.9,29935
2000,35,Lassen County,4312,17.5,1221,17.4,858,16.1,37358
2000,37,Los Angeles County,1513575,15.9,605747,22.9,411232,21.8,42045
2000,39,Madera County,24688,20.9,10578,29.3,7386,28.3,35248
2000,41,Marin County,14058,5.9,3548,7.1,2476,6.9,72301
2000,43,Mariposa County,2197,13,685,19.5,528,19.1,35151
2000,45,Mendocino County,12575,14.7,4648,21.9,3289,20.8,36240
2000,47,Merced County,43940,20.3,20754,28.5,14742,27.6,34474
2000,49,Modoc County,1772,19.7,632,28.9,482,28.5,28859
2000,51,Mono County,1167,9,397,13.4,304,13.9,44382
2000,53,Monterey County,50439,12.9,22447,19.8,15795,19.5,47073
2000,55,Napa County,8802,7.1,3263,10.9,2317,10.6,52262
2000,57,Nevada County,7444,8,2365,11.4,1705,10.5,46777
2000,59,Orange County,264914,9.3,104283,13.6,70285,13,55654
2000,61,Placer County,14779,5.6,4837,7.2,3287,6.5,59153
2000,63,Plumas County,2290,11.1,779,17.2,580,16.2,38225
2000,65,Riverside County,199491,12.5,87668,18.4,61226,17.6,43558
2000,67,Sacramento County,160507,12.9,63689,18.5,43633,17.5,44796
2000,69,San Benito County,4870,8.9,2175,12.6,1573,12.6,56191
2000,71,San Bernardino County,257613,15,110805,20,75453,18.7,40950
2000,73,San Diego County,302668,10.9,119229,16.3,80749,15.5,48363
2000,75,San Francisco County,70347,9.2,15588,14.1,10525,13.9,55761
2000,77,San Joaquin County,87187,15.1,36940,20.7,25674,19.8,40633
2000,79,San Luis Obispo County,25292,10.7,7190,13.7,5032,12.7,42498
2000,81,San Mateo County,35396,5.1,11020,6.8,7696,6.8,70492
2000,83,Santa Barbara County,48031,12.4,17805,18.2,12458,17.6,46908
2000,85,Santa Clara County,111287,6.7,36567,8.8,24975,8.7,74705
2000,87,Santa Cruz County,26163,10.6,9007,15.1,6171,14.3,53787
2000,89,Shasta County,24195,14.7,8732,20.9,6084,19.3,34991
2000,91,Sierra County,372,10.6,116,14.9,90,14.4,37770
2000,93,Siskiyou County,7235,16.7,2525,25.1,1843,23.8,30589
2000,95,Solano County,32756,8.4,12523,11,8392,10.2,53954
2000,97,Sonoma County,32332,7.1,10401,9.4,7102,8.7,53193
2000,99,Stanislaus County,67042,14.6,28195,20.1,19528,19,40054
2000,101,Sutter County,11146,14.1,4760,21.1,3410,20.5,38698
2000,103,Tehama County,9605,17.2,3718,24.8,2695,24,31575
2000,105,Trinity County,2138,16.8,682,24.6,524,23.4,28752
2000,107,Tulare County,85424,23.2,40230,32.9,28413,32.2,32253
2000,109,Tuolumne County,6426,12.7,2000,18.4,1397,16.6,38770
2000,111,Ventura County,67425,8.9,28053,13.1,19214,12.4,57164
2000,113,Yolo County,20196,12,6926,16.1,4853,15.5,42670
2000,115,Yuba County,11550,19.3,5101,27.4,3690,27.5,30954
2001,0,California,4418040,12.9,1632189,17.6,1089969,16.4,47064
2001,1,Alameda County,127572,8.8,37927,10.6,24201,9.7,54925
2001,3,Alpine County,190,15.7,58,25.7,42,25,38401
2001,5,Amador County,3248,10.1,837,12.7,590,11.5,41805
2001,7,Butte County,33972,16.7,9408,20,6441,18.3,31342
2001,9,Calaveras County,4357,10.2,1168,13,816,11.5,40890
2001,11,Colusa County,2832,14.9,1227,21.3,869,21.5,34722
2001,13,Contra Costa County,63365,6.5,20627,8.1,13570,7.3,64433
2001,15,Del Norte County,5122,21.6,1414,22.6,998,21.2,28841
2001,17,El Dorado County,11920,7.3,3218,8,2153,7,51861
2001,19,Fresno County,169383,20.8,72434,28.4,48587,26.5,34020
2001,21,Glenn County,4499,17.1,1797,23.1,1267,22.2,31637
2001,23,Humboldt County,19550,15.8,5298,19.1,3584,17.6,31251
2001,25,Imperial County,32781,24.2,15354,34.7,10088,31.3,30760
2001,27,Inyo County,1959,10.8,599,14.5,421,13.2,35848
2001,29,Kern County,122611,18.6,51690,24.5,34975,23,35575
2001,31,Kings County,23911,20.8,8896,23.4,6077,22.6,33879
2001,33,Lake County,9935,16.2,2747,19.4,1893,17.4,29283
2001,35,Lassen County,4353,17.5,1025,15.2,705,13.7,36128
2001,37,Los Angeles County,1571077,16.3,594123,22.4,396788,20.9,41573
2001,39,Madera County,25844,21.2,9996,27.4,6899,26.4,34010
2001,41,Marin County,14850,6.3,3182,6.5,2172,6.2,73276
2001,43,Mariposa County,2171,12.7,572,16.7,421,15.8,34192
2001,45,Mendocino County,12854,14.9,4296,20.7,2962,19.3,35199
2001,47,Merced County,43036,19.3,18907,25.6,13035,24.2,34074
2001,49,Modoc County,1651,18.3,509,24.5,371,23,27893
2001,51,Mono County,1141,8.8,316,10.7,232,10.7,44395
2001,53,Monterey County,51735,13.2,21901,19.2,15141,18.8,46270
2001,55,Napa County,9164,7.3,3010,10,2055,9.4,51618
2001,57,Nevada County,7580,8.1,2083,10.4,1441,9.2,46171
2001,59,Orange County,283666,9.8,104215,13.6,68398,12.6,55994
2001,61,Placer County,15238,5.5,4297,6.3,2765,5.4,58577
2001,63,Plumas County,2250,10.8,670,15.5,476,14,37431
2001,65,Riverside County,211169,12.7,85659,17.5,57808,16.2,42640
2001,67,Sacramento County,154557,12.1,57024,16.4,37937,15,44526
2001,69,San Benito County,4919,8.9,2002,11.6,1401,11.3,56156
2001,71,San Bernardino County,267628,15.2,106317,19,70780,17.3,40672
2001,73,San Diego County,307213,10.9,111869,15.2,73017,14,47944
2001,75,San Francisco County,73867,9.8,14757,13.6,9747,13.4,54779
2001,77,San Joaquin County,85757,14.4,33586,18.5,22402,17,40018
2001,79,San Luis Obispo County,25869,10.9,6467,12.6,4418,11.4,42026
2001,81,San Mateo County,37252,5.4,10393,6.5,7035,6.4,69984
2001,83,Santa Barbara County,47808,12.3,16352,16.8,10991,15.7,46279
2001,85,Santa Clara County,111498,6.8,34056,8.3,22454,8,72869
2001,87,Santa Cruz County,25774,10.5,8442,14.5,5701,13.7,52984
2001,89,Shasta County,23228,13.8,7455,18,5062,16.2,34235
2001,91,Sierra County,343,10,88,12.3,65,11,36679
2001,93,Siskiyou County,7046,16.2,2172,22.5,1524,20.6,29720
2001,95,Solano County,31957,8.1,11111,9.9,7353,9,53832
2001,97,Sonoma County,33476,7.3,9702,8.9,6460,8.1,52873
2001,99,Stanislaus County,66388,14,25482,17.9,17261,16.5,39300
2001,101,Sutter County,11244,13.9,4344,19.2,2978,18,38013
2001,103,Tehama County,9620,17,3211,21.9,2261,20.5,30609
2001,105,Trinity County,2222,17.1,576,21.3,426,19.5,27464
2001,107,Tulare County,87193,23.2,38687,31.3,26434,29.9,31587
2001,109,Tuolumne County,6248,12.2,1628,15.3,1109,13.6,37745
2001,111,Ventura County,70288,9.1,26605,12.5,17636,11.4,56525
2001,113,Yolo County,20271,11.7,5932,13.6,4175,13.2,41851
2001,115,Yuba County,11387,18.7,4473,24,3101,23.1,29927
2002,0,California,4646661,13.3,1795674,19.2,1235108,18.4,47323
2002,1,Alameda County,139367,9.7,46162,12.9,29190,11.7,55595
2002,3,Alpine County,188,15.6,52,23.5,41,25.9,37691
2002,5,Amador County,3082,9.4,759,11.5,551,10.8,43628
2002,7,Butte County,33849,16.4,10085,21.5,7034,20.2,32124
2002,9,Calaveras County,4288,9.7,1125,12.4,810,11.4,42563
2002,11,Colusa County,2567,13.2,1078,18.5,816,19.8,34556
2002,13,Contra Costa County,66852,6.7,22948,8.9,15064,8,65186
2002,15,Del Norte County,5092,21.1,1483,24,1104,23.9,29028
2002,17,El Dorado County,11974,7.1,3470,8.7,2340,7.6,53182
2002,19,Fresno County,175440,21,78523,30.4,55340,29.8,34579
2002,21,Glenn County,4156,15.4,1663,21.3,1249,21.8,31751
2002,23,Humboldt County,19409,15.5,5618,20.4,3987,20,31546
2002,25,Imperial County,30374,21.9,14699,32.7,10305,31.9,31412
2002,27,Inyo County,1800,9.9,559,13.7,414,13.3,36806
2002,29,Kern County,125214,18.3,54514,25.3,38492,24.8,36441
2002,31,Kings County,23088,19.6,8736,22.8,6259,23,34709
2002,33,Lake County,9884,15.8,3038,21.3,2226,20.4,29886
2002,35,Lassen County,4231,16.9,1010,15.4,723,14.2,36831
2002,37,Los Angeles County,1683869,17.3,677853,25.3,467848,24.5,41506
2002,39,Madera County,25869,20.5,10389,27.7,7685,28.8,34432
2002,41,Marin County,16158,6.8,3362,6.8,2274,6.5,70854
2002,43,Mariposa County,2060,11.7,546,15.8,414,15.5,35331
2002,45,Mendocino County,12730,14.6,4454,21.6,3227,21.3,35644
2002,47,Merced County,43071,18.8,19646,26.2,14073,25.8,34689
2002,49,Modoc County,1550,16.9,467,23.2,363,23.2,28072
2002,51,Mono County,1052,8.1,287,9.7,221,10.4,44575
2002,53,Monterey County,52743,13.3,21713,18.8,15561,19.3,45878
2002,55,Napa County,8957,7,2699,8.9,1905,8.6,52113
2002,57,Nevada County,7240,7.6,2058,10.4,1464,9.5,47478
2002,59,Orange County,299558,10.2,110453,14.2,74298,13.5,55992
2002,61,Placer County,16123,5.5,4683,6.8,3013,5.8,60543
2002,63,Plumas County,2051,9.8,579,13.8,434,13.1,38558
2002,65,Riverside County,225726,12.9,89657,17.7,62696,16.9,42929
2002,67,Sacramento County,166431,12.7,67539,19,45386,17.7,45231
2002,69,San Benito County,4911,8.8,2012,11.6,1448,11.7,56279
2002,71,San Bernardino County,286957,15.7,122850,21.6,84562,20.3,41583
2002,73,San Diego County,311688,10.9,113069,15.2,75329,14.3,47867
2002,75,San Francisco County,79463,10.7,17485,16.2,11689,16.5,53087
2002,77,San Joaquin County,87813,14.2,36327,19.6,24789,18.5,41042
2002,79,San Luis Obispo County,25698,10.7,6577,13,4598,12.1,43456
2002,81,San Mateo County,40624,5.9,11163,7,7446,6.8,67440
2002,83,Santa Barbara County,48142,12.4,16706,17.1,11691,16.8,46432
2002,85,Santa Clara County,128622,7.8,41716,10.1,27140,9.6,70216
2002,87,Santa Cruz County,25936,10.6,8382,14.6,5864,14.5,51774
2002,89,Shasta County,23209,13.4,7865,19.1,5537,17.9,35374
2002,91,Sierra County,337,9.7,85,12.3,67,11.4,36588
2002,93,Siskiyou County,6877,15.6,2154,22.7,1583,21.9,30285
2002,95,Solano County,31329,7.9,11453,10.2,7728,9.4,55349
2002,97,Sonoma County,34765,7.5,10489,9.7,7133,9,53230
2002,99,Stanislaus County,67057,13.8,27600,19.1,19416,18.4,40000
2002,101,Sutter County,10848,13,4169,18.2,2975,17.8,38585
2002,103,Tehama County,9430,16.3,3281,22.4,2428,22.1,31307
2002,105,Trinity County,2132,16.1,564,21.2,446,21.3,28170
2002,107,Tulare County,86920,22.5,40446,32.1,29313,32.7,32033
2002,109,Tuolumne County,6286,12.1,1707,16.3,1225,15.2,38770
2002,111,Ventura County,70532,9,26862,12.5,18080,11.6,57052
2002,113,Yolo County,19967,11.3,6066,13.8,4413,13.9,42412
2002,115,Yuba County,11075,17.8,4742,25.2,3401,25.2,30860
2003,001,Alameda County,"154,270",10.7,"51,611",14.3,"34,439",13.6,"56,225"
2003,003,Alpine County,157,13.3,46,21.7,34,21.4,"38,825"
2003,005,Amador County,"3,071",9.2,850,12.9,617,12.0,"44,494"
2003,007,Butte County,"32,917",15.8,"10,339",21.8,"7,177",20.3,"33,528"
2003,009,Calaveras County,"4,407",9.7,"1,238",13.6,900,12.6,"43,462"
2003,011,Colusa County,"2,585",12.9,"1,119",18.9,797,18.8,"36,579"
2003,013,Contra Costa County,"75,201",7.5,"25,598",9.8,"17,418",9.1,"64,365"
2003,015,Del Norte County,"4,590",18.6,"1,631",26.1,"1,183",25.1,"29,990"
2003,017,El Dorado County,"12,900",7.5,"3,916",9.7,"2,622",8.4,"54,131"
2003,019,Fresno County,"174,630",20.5,"79,421",30.0,"55,043",29.0,"36,003"
2003,021,Glenn County,"4,114",15.2,"1,751",22.2,"1,261",21.9,"32,725"
2003,023,Humboldt County,"19,629",15.7,"5,937",21.6,"4,172",20.7,"32,211"
2003,025,Imperial County,"27,843",19.7,"13,195",28.8,"8,781",27.1,"32,637"
2003,027,Inyo County,"1,924",10.6,627,15.6,454,14.8,"37,553"
2003,029,Kern County,"127,380",18.1,"57,455",25.7,"39,766",24.7,"37,614"
2003,031,Kings County,"21,786",18.1,"9,258",23.3,"6,445",23.0,"36,137"
2003,033,Lake County,"9,437",14.8,"3,226",22.2,"2,291",20.7,"31,178"
2003,035,Lassen County,"3,786",14.9,"1,123",16.8,801,15.5,"37,687"
2003,037,Los Angeles County,"1,729,767",17.6,"693,408",25.5,"486,099",24.9,"41,544"
2003,039,Madera County,"24,655",18.9,"10,616",27.3,"7,475",26.9,"36,050"
2003,041,Marin County,"17,472",7.4,"4,041",8.1,"2,813",8.0,"66,764"
2003,043,Mariposa County,"2,034",11.4,583,17.0,437,16.4,"35,437"
2003,045,Mendocino County,"12,788",14.6,"4,702",22.7,"3,307",21.7,"35,869"
2003,047,Merced County,"42,463",18.2,"19,884",25.9,"13,798",24.7,"36,738"
2003,049,Modoc County,"1,545",16.6,543,26.1,407,24.8,"28,533"
2003,051,Mono County,"1,102",8.7,317,11.2,236,11.5,"45,654"
2003,053,Monterey County,"53,604",13.6,"22,553",19.4,"15,365",19.0,"45,596"
2003,055,Napa County,"10,044",7.8,"3,134",10.2,"2,220",9.9,"51,991"
2003,057,Nevada County,"8,048",8.3,"2,264",11.4,"1,601",10.4,"47,680"
2003,059,Orange County,"314,072",10.6,"114,491",14.5,"76,776",13.6,"55,909"
2003,061,Placer County,"17,975",5.9,"5,666",7.9,"3,925",7.3,"61,522"
2003,063,Plumas County,"2,144",10.1,598,14.2,445,13.6,"39,514"
2003,065,Riverside County,"225,335",12.2,"91,018",17.1,"62,046",15.9,"44,598"
2003,067,Sacramento County,"181,996",13.6,"70,771",19.4,"48,239",18.3,"46,351"
2003,069,San Benito County,"5,152",9.2,"2,191",12.7,"1,541",12.3,"56,371"
2003,071,San Bernardino County,"299,582",16.0,"129,623",22.0,"88,935",20.6,"43,294"
